Posição,Número,Nome,Nacionalidade,Altura,Nascimento,Team,Valor de Mercado,player_id
Midfielder,29,Lucas Romero,ARG,167.0,18/04/1994,Cruzeiro,2.7,https://www.sofascore.com/football/player/lucas-romero/263477
Midfielder,16,Lucas Silva,BRA,182.0,16/02/1993,Cruzeiro,0.45,https://www.sofascore.com/football/player/lucas-silva/245159
Midfielder,94,Wanderson,BRA,175.0,06/10/1994,Cruzeiro,3.4,https://www.sofascore.com/football/player/wanderson/247483
Midfielder,88,Christian,BRA,178.0,19/12/2000,Cruzeiro,10.7,https://www.sofascore.com/football/player/christian/981733
Midfielder,5,Walace,BRA,188.0,04/04/1995,Cruzeiro,4.6,https://www.sofascore.com/football/player/walace/553686
Midfielder,70,Kaique Kenji,BRA,178.0,30/01/2006,Cruzeiro,1.1,https://www.sofascore.com/football/player/kenji/1647579
Midfielder,77,Japa,BRA,186.0,02/01/2004,Cruzeiro,0.46,https://www.sofascore.com/football/player/joao-wellington-japa/1459623
Midfielder,75,Rodriguinho,BRA,170.0,05/06/2003,Cruzeiro,0.58,https://www.sofascore.com/football/player/rodriguinho/1174770
Midfielder,27,Vitinho,BRA,173.0,18/02/2004,Cruzeiro,0.455,https://www.sofascore.com/football/player/amorim-de-assis-vitor-hugo/1836052
Midfielder,35,Murilo Rhikman,BRA,188.0,13/03/2006,Cruzeiro,0.26,https://www.sofascore.com/football/player/murilo-rhikman-alves-pimentel/1589354
Midfielder,20,Ryan Guilherme,BRA,185.0,07/12/2002,Cruzeiro,0.63,https://www.sofascore.com/football/player/ryan/1105850
Midfielder,21,Jhosefer,BRA,170.0,08/03/2004,Cruzeiro,0.365,https://www.sofascore.com/football/player/januario-jhosefer-raphael/1868440
Midfielder,25,Ian Luccas,BRA,187.0,11/02/2003,Cruzeiro,1.9,https://www.sofascore.com/football/player/ian-luccas/1046496
